"","Area","Code","Year","Percent"
"1","WORLD","900",1990,2.87225148013906
"2","WORLD","900",1995,2.80833763632635
"3","WORLD","900",2000,2.82556548441735
"4","WORLD","900",2005,2.92904764939577
"5","WORLD","900",2010,3.17360222997162
"6","WORLD","900",2015,3.37219697659226
"7","WORLD","900",2019,3.52165979658359
"8","More developed regions","901",1990,7.22537392803494
"9","More developed regions","901",1995,7.94669218794825
"10","More developed regions","901",2000,8.74836247878486
"11","More developed regions","901",2005,9.64986501391488
"12","More developed regions","901",2010,10.5779800479394
"13","More developed regions","901",2015,11.1921714739652
"14","More developed regions","901",2019,11.9680180578603
"15","Less developed regions","902",1990,1.67979206748781
"16","Less developed regions","902",1995,1.49477188582329
"17","Less developed regions","902",2000,1.40513750463532
"18","Less developed regions","902",2005,1.40506816694152
"19","Less developed regions","902",2010,1.57580504994073
"20","Less developed regions","902",2015,1.76735077736239
"21","Less developed regions","902",2019,1.85590336564335
"22","Least developed countries","941",1990,2.18462448868661
"23","Least developed countries","941",1995,2.01520551093083
"24","Least developed countries","941",2000,1.53130022436586
"25","Least developed countries","941",2005,1.32132160621075
"26","Least developed countries","941",2010,1.24701000410153
"27","Least developed countries","941",2015,1.44840031925109
"28","Least developed countries","941",2019,1.57627233835252
"29","Less developed regions, excluding least developed countries","934",1990,1.61025377944628
"30","Less developed regions, excluding least developed countries","934",1995,1.41925697398445
"31","Less developed regions, excluding least developed countries","934",2000,1.3858453426353
"32","Less developed regions, excluding least developed countries","934",2005,1.4186506830677
"33","Less developed regions, excluding least developed countries","934",2010,1.63211006061919
"34","Less developed regions, excluding least developed countries","934",2015,1.82527662467135
"35","Less developed regions, excluding least developed countries","934",2019,1.9093224099523
"36","High-income countries","1503",1990,7.49217228061902
"37","High-income countries","1503",1995,8.3038471993284
"38","High-income countries","1503",2000,9.26261168854269
"39","High-income countries","1503",2005,10.4675465476779
"40","High-income countries","1503",2010,12.0527250258198
"41","High-income countries","1503",2015,12.9963584621987
"42","High-income countries","1503",2019,13.9750207286565
"43","Middle-income countries","1517",1990,1.65449881853954
"44","Middle-income countries","1517",1995,1.4322581127677
"45","Middle-income countries","1517",2000,1.33888872798069
"46","Middle-income countries","1517",2005,1.26793819293686
"47","Middle-income countries","1517",2010,1.28023584425261
"48","Middle-income countries","1517",2015,1.39406430215685
"49","Middle-income countries","1517",2019,1.44361040195149
"50","Upper-middle-income countries","1502",1990,1.6187576734219
"51","Upper-middle-income countries","1502",1995,1.53563356500751
"52","Upper-middle-income countries","1502",2000,1.51598621135308
"53","Upper-middle-income countries","1502",2005,1.54259979271955
"54","Upper-middle-income countries","1502",2010,1.63150162942383
"55","Upper-middle-income countries","1502",2015,1.93465432321988
"56","Upper-middle-income countries","1502",2019,2.05685075341125
"57","Lower-middle-income countries","1501",1990,1.69359137367268
"58","Lower-middle-income countries","1501",1995,1.32388883042922
"59","Lower-middle-income countries","1501",2000,1.16160519230689
"60","Lower-middle-income countries","1501",2005,1.00515693380581
"61","Lower-middle-income countries","1501",2010,0.957858342088638
"62","Lower-middle-income countries","1501",2015,0.914646020482249
"63","Lower-middle-income countries","1501",2019,0.9143527549957
"64","Low-income countries","1500",1990,2.79161998408804
"65","Low-income countries","1500",1995,2.61558785199024
"66","Low-income countries","1500",2000,1.94689807634165
"67","Low-income countries","1500",2005,1.69972645227457
"68","Low-income countries","1500",2010,1.66415422304124
"69","Low-income countries","1500",2015,1.738960919587
"70","Low-income countries","1500",2019,1.72945729907341
"71","No income group available","1518",1990,15.674235057284
"72","No income group available","1518",1995,17.1753351122719
"73","No income group available","1518",2000,18.7378533115433
"74","No income group available","1518",2005,19.1503465934377
"75","No income group available","1518",2010,18.0633817295092
"76","No income group available","1518",2015,18.1118547500457
"77","No income group available","1518",2019,17.9008672959314
"78","Africa","903",1990,2.48904179986371
"79","Africa","903",1995,2.28046275757233
"80","Africa","903",2000,1.85597654275461
"81","Africa","903",2005,1.74313816015234
"82","Africa","903",2010,1.71308851257003
"83","Africa","903",2015,1.9854094197235
"84","Africa","903",2019,2.02813700592118
"85","Asia","935",1990,1.49437291192433
"86","Asia","935",1995,1.32885451252446
"87","Asia","935",2000,1.32025781052596
"88","Asia","935",2005,1.34337574984562
"89","Asia","935",2010,1.56639136241693
"90","Asia","935",2015,1.74201396790531
"91","Asia","935",2019,1.8159629685238
"92","Europe","908",1990,6.88182693842321
"93","Europe","908",1995,7.35766661904044
"94","Europe","908",2000,7.83655961051198
"95","Europe","908",2005,8.72012640122896
"96","Europe","908",2010,9.59760705687389
"97","Europe","908",2015,10.0945167835823
"98","Europe","908",2019,11.0153157162484
"99","Latin America and the Caribbean","904",1990,1.61714615065054
"100","Latin America and the Caribbean","904",1995,1.38477372072048
"101","Latin America and the Caribbean","904",2000,1.25915520818191
"102","Latin America and the Caribbean","904",2005,1.29595132301029
"103","Latin America and the Caribbean","904",2010,1.39720971245998
"104","Latin America and the Caribbean","904",2015,1.51324923112722
"105","Latin America and the Caribbean","904",2019,1.80109713687286
"106","Northern America","905",1990,9.86842841495091
"107","Northern America","905",1995,11.3229909796772
"108","Northern America","905",2000,12.9155685386796
"109","Northern America","905",2005,13.8603843326559
"110","Northern America","905",2010,14.8478674658333
"111","Northern America","905",2015,15.5822423040363
"112","Northern America","905",2019,15.9977271636416
"113","Oceania","909",1990,17.3336083160034
"114","Oceania","909",1995,17.0886264812912
"115","Oceania","909",2000,17.0603450368961
"116","Oceania","909",2005,17.8788210509119
"117","Oceania","909",2010,19.330307657231
"118","Oceania","909",2015,20.2463569726955
"119","Oceania","909",2019,21.1923603842429
"120","SUB-SAHARAN AFRICA","947",1990,2.70815537102705
"121","SUB-SAHARAN AFRICA","947",1995,2.54573283753522
"122","SUB-SAHARAN AFRICA","947",2000,2.05596734035733
"123","SUB-SAHARAN AFRICA","947",2005,1.94899581753611
"124","SUB-SAHARAN AFRICA","947",2010,1.89581815453123
"125","SUB-SAHARAN AFRICA","947",2015,2.22593792836372
"126","SUB-SAHARAN AFRICA","947",2019,2.21080853393026
"127","Eastern Africa","910",1990,3.02238277309939
"128","Eastern Africa","910",1995,2.22281526344127
"129","Eastern Africa","910",2000,1.88344885983305
"130","Eastern Africa","910",2005,1.61350010051479
"131","Eastern Africa","910",2010,1.40219538653013
"132","Eastern Africa","910",2015,1.72363846937396
"133","Eastern Africa","910",2019,1.82255955540013
"134","Burundi","108",1990,6.12451982981296
"135","Burundi","108",1995,4.25674243528901
"136","Burundi","108",2000,1.96943941960889
"137","Burundi","108",2005,2.34728091307074
"138","Burundi","108",2010,2.71173112828366
"139","Burundi","108",2015,2.85245220732616
"140","Burundi","108",2019,2.7840576970109
"141","Comoros","174",1990,3.4206037988892
