"","Area","Code","Year","Stock"
"1","WORLD","900",1990,153011473
"2","WORLD","900",1995,161316895
"3","WORLD","900",2000,173588441
"4","WORLD","900",2005,191615574
"5","WORLD","900",2010,220781909
"6","WORLD","900",2015,248861296
"7","WORLD","900",2019,271642105
"8","More developed regions","901",1990,82767216
"9","More developed regions","901",1995,92935095
"10","More developed regions","901",2000,103961989
"11","More developed regions","901",2005,116687616
"12","More developed regions","901",2010,130613460
"13","More developed regions","901",2015,140643317
"14","More developed regions","901",2019,152069261
"15","Less developed regions","902",1990,70244257
"16","Less developed regions","902",1995,68381800
"17","Less developed regions","902",2000,69626452
"18","Less developed regions","902",2005,74927958
"19","Less developed regions","902",2010,90168449
"20","Less developed regions","902",2015,108217979
"21","Less developed regions","902",2019,119572844
"22","Least developed countries","941",1990,11060221
"23","Least developed countries","941",1995,11681777
"24","Least developed countries","941",2000,10063948
"25","Least developed countries","941",2005,9833150
"26","Least developed countries","941",2010,10432671
"27","Least developed countries","941",2015,13631349
"28","Least developed countries","941",2019,16289023
"29","Less developed regions, excluding least developed countries","934",1990,59184036
"30","Less developed regions, excluding least developed countries","934",1995,56700023
"31","Less developed regions, excluding least developed countries","934",2000,59562504
"32","Less developed regions, excluding least developed countries","934",2005,65094808
"33","Less developed regions, excluding least developed countries","934",2010,79735778
"34","Less developed regions, excluding least developed countries","934",2015,94586630
"35","Less developed regions, excluding least developed countries","934",2019,103283821
"36","High-income countries","1503",1990,77802868
"37","High-income countries","1503",1995,89346612
"38","High-income countries","1503",2000,103029727
"39","High-income countries","1503",2005,120543730
"40","High-income countries","1503",2010,144282576
"41","High-income countries","1503",2015,160366582
"42","High-income countries","1503",2019,175811829
"43","Middle-income countries","1517",1990,65124366
"44","Middle-income countries","1517",1995,61040029
"45","Middle-income countries","1517",2000,61158978
"46","Middle-income countries","1517",2005,61623367
"47","Middle-income countries","1517",2010,65980003
"48","Middle-income countries","1517",2015,76123099
"49","Middle-income countries","1517",2019,82237681
"50","Upper-middle-income countries","1502",1990,33285549
"51","Upper-middle-income countries","1502",1995,33494586
"52","Upper-middle-income countries","1502",2000,34642477
